baseline,stddev,threshold,reset_threshold,run_start_time,is_leader
775.0, 9.3, 975, 825, 2024-11-01T18:06:41.482495-04:00, 1
Muon Count,ADC,temperature_ADC,dt,t,t_wait,coinc
135, 23653, 15075, 442, 80251, 66, 0
136, 1312, 15059, 892, 81143, 90, 0
137, 2144, 15059, 935, 82078, 85, 0
138, 1056, 15059, 576, 82654, 94, 0
139, 1936, 15043, 489, 83143, 86, 0
140, 8514, 15043, 16, 83159, 74, 0
141, 1936, 15059, 221, 83380, 86, 0
142, 19012, 15059, 443, 83823, 68, 0
143, 1840, 15059, 1177, 85000, 87, 0
144, 24549, 15075, 11, 85011, 66, 0
145, 1488, 15059, 382, 85393, 89, 0
146, 1056, 15075, 6, 85399, 93, 0
147, 1056, 15059, 838, 86237, 93, 0
148, 29751, 15059, 154, 86391, 49, 1
149, 33000, 15059, 114, 86505, 49, 1
150, 6321, 15059, 147, 86652, 76, 0
151, 29479, 15059, 2635, 89287, 64, 0
152, 12226, 15059, 499, 89786, 71, 0
153, 7057, 15059, 527, 90313, 76, 0
154, 1024, 15059, 1434, 91747, 94, 0
155, 7825, 15043, 921, 92668, 75, 0
156, 4113, 15043, 900, 93568, 79, 0
157, 992, 15043, 753, 94321, 94, 0
158, 1136, 15059, 229, 94550, 92, 0
159, 6993, 15059, 266, 94816, 76, 0
160, 6961, 15043, 172, 94988, 76, 0
161, 1312, 15043, 7, 94995, 90, 0
162, 24005, 15059, 273, 95268, 51, 1
163, 21349, 15043, 323, 95591, 67, 0
164, 1088, 15059, 36, 95627, 93, 0
165, 1712, 15043, 1818, 97445, 88, 0
166, 1072, 15043, 45, 97490, 94, 0
167, 2704, 15059, 85, 97575, 84, 0
168, 1376, 15043, 12, 97587, 90, 0
169, 4032, 15059, 706, 98293, 81, 0
170, 20501, 15043, 1604, 99897, 68, 0
171, 21381, 15043, 360, 100257, 53, 1
172, 1008, 15043, 890, 101147, 95, 0
173, 13155, 15043, 340, 101487, 71, 0
174, 9650, 15043, 60, 101547, 74, 0
175, 7569, 15043, 286, 101833, 77, 0
176, 5681, 15043, 407, 102240, 78, 0
177, 1408, 15043, 273, 102513, 90, 0
178, 2432, 15043, 1061, 103574, 84, 0
179, 5841, 15043, 199, 103773, 77, 0
180, 1344, 15043, 754, 104527, 90, 0
181, 4497, 15043, 362, 104889, 79, 0
182, 5185, 15043, 360, 105249, 78, 0
183, 2624, 15043, 93, 105342, 83, 0
184, 33688, 15043, 135, 105477, 46, 1
185, 1024, 15043, 249, 105726, 94, 0
186, 27190, 15043, 128, 105854, 66, 0
187, 1120, 15059, 225, 106079, 93, 0
188, 3488, 15059, 1115, 107194, 81, 0
189, 10242, 15043, 873, 108067, 73, 0
190, 20693, 15043, 488, 108555, 67, 0
191, 1040, 15027, 122, 108677, 94, 0
192, 31159, 15043, 700, 109377, 63, 0
193, 25798, 15027, 670, 110047, 65, 0
194, 1552, 15043, 83, 110130, 88, 0
195, 1040, 15043, 1310, 111440, 94, 0
196, 13923, 15027, 86, 111526, 71, 0
197, 3088, 15027, 1831, 113357, 83, 0
198, 31111, 15043, 432, 113789, 49, 1
199, 28743, 15043, 196, 113985, 50, 1
200, 4161, 15027, 294, 114279, 80, 0
201, 9234, 15043, 657, 114936, 74, 0
202, 2736, 15043, 281, 115217, 84, 0
203, 10850, 15043, 394, 115611, 73, 0
204, 19988, 15043, 499, 116110, 55, 1
205, 7905, 15043, 373, 116483, 77, 0
206, 3152, 15027, 892, 117375, 83, 0
207, 1248, 15027, 339, 117714, 91, 0
208, 22677, 15027, 126, 117840, 66, 0
209, 4097, 15043, 196, 118036, 80, 0
210, 31767, 15043, 1865, 119901, 48, 1
211, 8898, 15043, 812, 120713, 74, 0
212, 1360, 15027, 814, 121527, 90, 0
213, 1104, 15027, 938, 122465, 91, 1
214, 1056, 15043, 122, 122587, 94, 0
215, 3584, 15027, 1627, 124214, 81, 0
216, 2896, 15027, 2, 124216, 82, 0
217, 8450, 15027, 401, 124617, 75, 0
218, 8177, 15043, 78, 124695, 75, 0
219, 24598, 15043, 104, 124799, 52, 1
220, 1072, 15043, 88, 124887, 94, 0
221, 7713, 15043, 614, 125501, 75, 0
222, 12194, 15027, 78, 125579, 72, 0
223, 1040, 15027, 593, 126172, 94, 0
224, 12098, 15027, 113, 126285, 72, 0
225, 21701, 15027, 148, 126433, 68, 0
226, 36840, 15027, 291, 126724, 50, 1
227, 40553, 15027, 74, 126798, 46, 1
228, 20837, 15027, 469, 127267, 68, 0
229, 12002, 15043, 15, 127282, 71, 0
230, 6737, 15027, 294, 127576, 76, 0
231, 4625, 15043, 281, 127857, 80, 0
232, 992, 15043, 415, 128272, 95, 0
233, 12034, 15043, 544, 128816, 72, 0
234, 8242, 15043, 798, 129614, 75, 0
235, 7569, 15027, 1757, 131371, 76, 0
236, 3024, 15043, 987, 132358, 82, 0
237, 5665, 15043, 864, 133222, 77, 0
238, 8001, 15027, 206, 133428, 75, 0
239, 25734, 15043, 111, 133539, 66, 0
240, 31703, 15027, 2458, 135997, 64, 0
241, 30071, 15027, 701, 136698, 64, 0
242, 2048, 15027, 1073, 137771, 86, 0
243, 1792, 15027, 31, 137802, 87, 0
244, 1040, 15027, 2134, 139936, 94, 0
245, 16420, 15043, 17, 139953, 70, 0
246, 12515, 15043, 128, 140081, 72, 0
247, 17092, 15027, 729, 140810, 57, 1
248, 2000, 15027, 1001, 141811, 85, 0
249, 2352, 15043, 191, 142002, 85, 0
250, 22853, 15027, 661, 142663, 51, 1
251, 2112, 15043, 644, 143307, 80, 1
252, 5249, 15027, 531, 143838, 78, 0
253, 992, 15027, 272, 144110, 97, 0
254, 18628, 15027, 929, 145039, 55, 1
255, 41450, 15027, 240, 145279, 61, 0
256, 6849, 15027, 258, 145537, 76, 0
257, 2192, 15043, 1545, 147082, 85, 0
258, 4080, 15027, 113, 147195, 81, 0
259, 35560, 15043, 7, 147202, 63, 0
260, 20757, 15027, 227, 147429, 67, 0
261, 1312, 15027, 1507, 148936, 91, 0
262, 8226, 15027, 790, 149726, 74, 0
263, 15891, 15027, 1829, 151555, 72, 0
264, 2464, 15043, 322, 151877, 85, 0
265, 2624, 15027, 112, 151989, 84, 0
266, 2496, 15027, 687, 152676, 84, 0
267, 1488, 15027, 643, 153319, 89, 0
268, 15539, 15043, 96, 153415, 70, 0
269, 3360, 15043, 119, 153534, 81, 0
270, 20885, 15011, 1054, 154588, 69, 0
271, 5777, 15027, 404, 154992, 77, 0
272, 8033, 15027, 70, 155062, 75, 0
273, 3504, 15027, 886, 155948, 81, 0
274, 42410, 15027, 902, 156850, 61, 0
275, 3744, 15027, 158, 157008, 81, 0
276, 52316, 15027, 223, 157231, 59, 0
277, 4609, 15027, 1184, 158415, 79, 0
278, 1136, 15027, 89, 158504, 93, 0
279, 37353, 15043, 697, 159201, 47, 1
280, 2224, 15027, 2015, 161216, 86, 0
281, 3792, 15027, 216, 161432, 81, 0
282, 3808, 15027, 85, 161517, 81, 0
283, 1072, 15027, 246, 161763, 93, 0
284, 11938, 15027, 158, 161921, 72, 0
285, 5857, 15027, 213, 162134, 77, 0
286, 19684, 15027, 284, 162418, 69, 0
287, 28006, 15027, 130, 162548, 51, 1
288, 1040, 15027, 162, 162710, 94, 0
