baseline,stddev,threshold,reset_threshold,run_start_time,is_leader
775.0, 9.3, 975, 825, 2024-11-01T18:06:41.482495-04:00, 1
Muon Count,ADC,temperature_ADC,dt,t,t_wait,coinc
16156, 2400, 15299, 1072, 8156978, 81, 0
16157, 4032, 15315, 243, 8157221, 78, 0
16158, 1648, 15299, 559, 8157780, 83, 0
16159, 1152, 15299, 555, 8158335, 89, 0
16160, 7649, 15315, 132, 8158467, 73, 0
16161, 1040, 15299, 29, 8158496, 93, 0
16162, 17172, 15315, 362, 8158858, 50, 1
16163, 20965, 15299, 492, 8159350, 64, 0
16164, 11234, 15315, 545, 8159895, 70, 0
16165, 976, 15315, 311, 8160206, 90, 0
16166, 3728, 15315, 154, 8160360, 78, 0
16167, 4385, 15315, 86, 8160446, 77, 0
16168, 1056, 15315, 757, 8161203, 92, 0
16169, 1088, 15299, 204, 8161407, 89, 0
16170, 14515, 15299, 290, 8161697, 67, 0
16171, 9170, 15315, 514, 8162211, 69, 0
16172, 18644, 15299, 52, 8162263, 65, 0
16173, 18980, 15315, 203, 8162466, 65, 0
16174, 1040, 15315, 413, 8162879, 91, 0
16175, 6625, 15315, 66, 8162945, 72, 0
16176, 3104, 15299, 181, 8163126, 78, 0
16177, 8065, 15315, 325, 8163451, 71, 0
16178, 3072, 15299, 1167, 8164618, 79, 0
16179, 29895, 15315, 394, 8165012, 62, 0
16180, 31255, 15315, 513, 8165525, 42, 1
16181, 2160, 15299, 473, 8165998, 82, 0
16182, 2384, 15299, 201, 8166199, 82, 0
16183, 5649, 15315, 330, 8166529, 77, 0
16184, 29799, 15315, 272, 8166801, 59, 0
16185, 1152, 15315, 903, 8167704, 90, 0
16186, 37769, 15299, 105, 8167809, 42, 1
16187, 3088, 15315, 231, 8168040, 79, 0
16188, 3648, 15315, 35, 8168075, 79, 0
16189, 5505, 15315, 322, 8168397, 73, 0
16190, 2528, 15299, 1145, 8169542, 79, 0
16191, 1152, 15315, 1669, 8171211, 89, 0
16192, 21397, 15299, 712, 8171923, 66, 0
16193, 8258, 15315, 704, 8172627, 71, 0
16194, 17604, 15299, 1107, 8173734, 64, 0
16195, 6353, 15315, 930, 8174664, 60, 1
16196, 44346, 15299, 1169, 8175833, 38, 1
16197, 29703, 15299, 1031, 8176864, 63, 0
16198, 3920, 15315, 397, 8177261, 76, 0
16199, 1024, 15299, 2576, 8179837, 92, 0
16200, 22789, 15299, 479, 8180316, 63, 0
16201, 32151, 15299, 421, 8180737, 42, 1
16202, 31079, 15315, 40, 8180777, 60, 0
16203, 15683, 15299, 435, 8181212, 66, 0
16204, 2496, 15315, 1341, 8182553, 80, 0
16205, 1072, 15299, 399, 8182952, 92, 0
16206, 6449, 15299, 102, 8183054, 74, 0
16207, 10898, 15299, 220, 8183274, 69, 0
16208, 1216, 15299, 36, 8183310, 89, 0
16209, 2144, 15315, 139, 8183449, 76, 1
16210, 3424, 15315, 232, 8183681, 79, 0
16211, 4785, 15315, 246, 8183927, 76, 0
16212, 31207, 15299, 100, 8184027, 59, 0
16213, 4048, 15299, 224, 8184251, 77, 0
16214, 1360, 15299, 47, 8184298, 87, 0
16215, 40953, 15299, 207, 8184505, 38, 1
16216, 2384, 15331, 1016, 8185521, 82, 0
16217, 33240, 15315, 80, 8185601, 59, 0
16218, 1056, 15299, 716, 8186317, 90, 0
16219, 8258, 15299, 810, 8187127, 72, 0
16220, 13827, 15299, 430, 8187557, 66, 0
16221, 13683, 15315, 152, 8187709, 67, 0
16222, 31751, 15315, 948, 8188657, 46, 1
16223, 2192, 15299, 419, 8189076, 81, 0
16224, 18596, 15315, 1135, 8190211, 52, 1
16225, 1104, 15299, 103, 8190314, 91, 0
16226, 1984, 15299, 508, 8190822, 83, 0
16227, 4289, 15299, 1037, 8191859, 77, 0
16228, 5857, 15315, 162, 8192021, 75, 0
16229, 1200, 15299, 364, 8192385, 88, 0
16230, 1744, 15315, 221, 8192606, 82, 0
16231, 1104, 15299, 65, 8192671, 88, 0
16232, 23493, 15299, 898, 8193569, 49, 1
16233, 5633, 15299, 344, 8193913, 74, 0
16234, 8674, 15315, 38, 8193951, 72, 0
16235, 1792, 15299, 383, 8194334, 84, 0
16236, 8081, 15315, 466, 8194800, 74, 0
16237, 1152, 15299, 256, 8195056, 91, 0
16238, 3104, 15299, 598, 8195654, 80, 0
16239, 19364, 15283, 353, 8196007, 65, 0
16240, 2896, 15299, 83, 8196090, 79, 0
16241, 4481, 15315, 1611, 8197701, 74, 0
16242, 1728, 15299, 752, 8198453, 83, 0
16243, 9298, 15299, 386, 8198839, 68, 0
16244, 4353, 15299, 310, 8199149, 78, 0
16245, 2336, 15299, 738, 8199887, 79, 0
16246, 3264, 15299, 316, 8200203, 78, 0
16247, 8498, 15299, 2161, 8202364, 70, 0
16248, 1120, 15315, 225, 8202589, 89, 0
16249, 12515, 15299, 471, 8203060, 69, 0
16250, 29319, 15299, 394, 8203454, 61, 0
16251, 14723, 15299, 492, 8203946, 67, 0
16252, 6865, 15299, 457, 8204403, 74, 0
16253, 8658, 15299, 188, 8204591, 70, 0
16254, 1056, 15299, 429, 8205020, 91, 0
16255, 33832, 15315, 478, 8205498, 44, 1
16256, 4449, 15315, 125, 8205623, 77, 0
16257, 21125, 15299, 874, 8206497, 52, 1
16258, 2384, 15299, 2288, 8208785, 83, 0
16259, 3232, 15299, 139, 8208924, 78, 0
16260, 1280, 15315, 742, 8209666, 87, 0
16261, 16836, 15299, 420, 8210086, 65, 0
16262, 5969, 15315, 77, 8210163, 75, 0
16263, 2768, 15299, 202, 8210365, 80, 0
16264, 1184, 15315, 408, 8210773, 89, 0
16265, 1072, 15299, 576, 8211349, 90, 0
16266, 33192, 15299, 127, 8211476, 59, 0
16267, 24982, 15315, 119, 8211595, 46, 1
16268, 14675, 15315, 123, 8211718, 68, 0
16269, 1120, 15299, 1093, 8212811, 90, 0
16270, 1952, 15299, 148, 8212959, 85, 0
16271, 8065, 15299, 227, 8213186, 71, 0
16272, 16147, 15315, 435, 8213621, 65, 0
16273, 1088, 15299, 275, 8213896, 90, 0
16274, 2000, 15299, 136, 8214032, 83, 0
16275, 4513, 15315, 159, 8214191, 78, 0
16276, 22181, 15299, 303, 8214494, 49, 1
16277, 992, 15315, 1185, 8215679, 93, 0
16278, 19620, 15299, 565, 8216244, 65, 0
16279, 1168, 15299, 107, 8216351, 90, 0
16280, 5681, 15315, 378, 8216729, 75, 0
16281, 19972, 15299, 717, 8217446, 66, 0
16282, 5153, 15299, 131, 8217577, 76, 0
16283, 2128, 15299, 545, 8218122, 84, 0
16284, 15203, 15315, 1103, 8219225, 51, 1
16285, 1712, 15299, 1354, 8220579, 85, 0
16286, 5025, 15315, 193, 8220772, 76, 0
16287, 24838, 15299, 1106, 8221878, 65, 0
16288, 2832, 15299, 146, 8222024, 79, 0
16289, 2064, 15315, 346, 8222370, 83, 0
16290, 992, 15315, 467, 8222837, 92, 0
16291, 1088, 15299, 327, 8223164, 91, 0
16292, 3728, 15299, 100, 8223264, 79, 0
16293, 1760, 15299, 164, 8223428, 83, 0
16294, 1712, 15299, 1277, 8224705, 84, 0
16295, 1120, 15315, 1537, 8226242, 90, 0
16296, 1152, 15299, 304, 8226546, 90, 0
16297, 10146, 15299, 465, 8227011, 72, 0
16298, 1280, 15299, 209, 8227220, 88, 0
16299, 30519, 15315, 768, 8227988, 60, 0
16300, 14883, 15299, 1644, 8229632, 54, 1
16301, 20965, 15315, 514, 8230146, 65, 0
16302, 1296, 15299, 970, 8231116, 87, 0
16303, 3408, 15315, 124, 8231240, 79, 0
16304, 2432, 15315, 293, 8231533, 82, 0
16305, 6481, 15299, 475, 8232008, 72, 0
16306, 1088, 15315, 329, 8232337, 89, 0
16307, 1056, 15315, 226, 8232563, 90, 0
16308, 1712, 15283, 16, 8232579, 84, 0
16309, 20260, 15315, 899, 8233478, 66, 0
16310, 21221, 15315, 31, 8233509, 49, 1
16311, 976, 15315, 242, 8233751, 91, 0
16312, 2496, 15299, 466, 8234217, 80, 0
16313, 1424, 15315, 568, 8234785, 87, 0
16314, 18324, 15299, 168, 8234953, 67, 0
16315, 8562, 15315, 283, 8235236, 72, 0
16316, 22997, 15299, 158, 8235394, 63, 0
16317, 1008, 15299, 41, 8235435, 91, 0
16318, 976, 15315, 386, 8235821, 93, 0
16319, 7105, 15299, 372, 8236193, 73, 0
16320, 13331, 15299, 276, 8236469, 66, 0
16321, 25926, 15299, 1561, 8238030, 63, 0
16322, 8322, 15315, 1455, 8239485, 71, 0
16323, 19780, 15299, 376, 8239861, 64, 0
16324, 9762, 15315, 245, 8240106, 71, 0
16325, 39481, 15299, 240, 8240346, 41, 1
16326, 20933, 15299, 323, 8240669, 64, 0
16327, 13107, 15299, 496, 8241165, 68, 0
16328, 33624, 15299, 118, 8241283, 62, 0
16329, 8898, 15299, 338, 8241621, 70, 0
16330, 3152, 15315, 858, 8242479, 78, 0
16331, 1728, 15315, 47, 8242526, 84, 0
16332, 31415, 15299, 1189, 8243715, 49, 1
16333, 2688, 15299, 1375, 8245090, 80, 0
16334, 4753, 15299, 297, 8245387, 76, 0
16335, 15299, 15299, 269, 8245656, 63, 1
16336, 10562, 15299, 316, 8245972, 72, 0
16337, 14499, 15299, 367, 8246339, 65, 0
16338, 24854, 15299, 666, 8247005, 47, 1
16339, 2256, 15299, 298, 8247303, 81, 0
16340, 30727, 15299, 791, 8248094, 41, 1
16341, 26470, 15299, 76, 8248170, 46, 1
16342, 5313, 15299, 24, 8248194, 75, 0
16343, 10946, 15315, 3, 8248197, 68, 0
16344, 6673, 15299, 844, 8249041, 71, 0
16345, 1120, 15299, 1481, 8250522, 89, 0
16346, 6705, 15315, 313, 8250835, 73, 0
16347, 21285, 15299, 466, 8251301, 49, 1
16348, 24998, 15299, 137, 8251438, 61, 0
16349, 1008, 15299, 5, 8251443, 93, 0
16350, 2016, 15315, 1003, 8252446, 84, 0
16351, 2992, 15315, 732, 8253178, 78, 0
16352, 5457, 15299, 327, 8253505, 76, 0
16353, 6433, 15315, 480, 8253985, 72, 0
16354, 1328, 15299, 16, 8254001, 86, 0
16355, 1824, 15299, 241, 8254242, 83, 0
16356, 4064, 15299, 57, 8254299, 77, 0
16357, 1024, 15315, 191, 8254490, 91, 0
16358, 14819, 15315, 64, 8254554, 66, 0
16359, 6209, 15315, 615, 8255169, 73, 0
16360, 3456, 15315, 665, 8255834, 78, 0
16361, 22229, 15283, 685, 8256519, 48, 1
16362, 5441, 15299, 271, 8256790, 76, 0
16363, 33896, 15315, 778, 8257568, 39, 1
16364, 1040, 15283, 1052, 8258620, 91, 0
16365, 6241, 15299, 109, 8258729, 74, 0
16366, 4561, 15315, 419, 8259148, 77, 0
16367, 22069, 15315, 187, 8259335, 47, 1
16368, 1104, 15299, 872, 8260207, 89, 0
16369, 20821, 15299, 230, 8260437, 64, 0
16370, 1152, 15315, 600, 8261037, 89, 0
16371, 2592, 15299, 169, 8261206, 79, 0
16372, 1088, 15299, 651, 8261857, 90, 0
16373, 4641, 15283, 2281, 8264138, 77, 0
16374, 2272, 15315, 8, 8264146, 80, 0
16375, 1280, 15299, 173, 8264319, 87, 0
16376, 20805, 15299, 833, 8265152, 61, 0
16377, 1152, 15283, 5, 8265157, 90, 0
16378, 8097, 15299, 695, 8265852, 71, 0
16379, 1216, 15299, 103, 8265955, 88, 0
16380, 13539, 15299, 9, 8265964, 68, 0
16381, 6993, 15299, 214, 8266178, 71, 0
16382, 11458, 15299, 199, 8266377, 69, 0
16383, 7505, 15299, 1014, 8267391, 71, 0
16384, 3680, 15299, 80, 8267471, 78, 0
16385, 1120, 15299, 337, 8267808, 87, 0
16386, 4609, 15283, 370, 8268178, 75, 0
16387, 30679, 15315, 337, 8268515, 62, 0
16388, 17332, 15299, 2023, 8270538, 64, 0
16389, 1136, 15299, 622, 8271160, 89, 0
16390, 4401, 15299, 1807, 8272967, 77, 0
16391, 36424, 15299, 308, 8273275, 60, 0
16392, 1568, 15283, 295, 8273570, 84, 0
16393, 2224, 15283, 150, 8273720, 83, 0
16394, 3712, 15299, 223, 8273943, 77, 0
16395, 2944, 15299, 1077, 8275020, 79, 0
16396, 14659, 15283, 732, 8275752, 52, 1
16397, 1968, 15315, 443, 8276195, 75, 1
16398, 3344, 15315, 171, 8276366, 79, 0
16399, 5089, 15299, 210, 8276576, 73, 0
16400, 1728, 15299, 93, 8276669, 85, 0
16401, 5857, 15299, 192, 8276861, 75, 0
16402, 10242, 15299, 540, 8277401, 67, 0
16403, 1072, 15299, 594, 8277995, 92, 0
16404, 18084, 15315, 512, 8278507, 66, 0
16405, 19364, 15315, 91, 8278598, 64, 0
16406, 9154, 15283, 687, 8279285, 72, 0
16407, 19252, 15299, 331, 8279616, 47, 1
16408, 26774, 15299, 214, 8279830, 46, 1
16409, 4945, 15299, 1521, 8281351, 76, 0
16410, 7905, 15315, 444, 8281795, 72, 0
16411, 2240, 15299, 667, 8282462, 81, 0
16412, 2240, 15299, 127, 8282589, 81, 0
16413, 6353, 15299, 345, 8282934, 72, 0
16414, 2048, 15299, 472, 8283406, 75, 1
16415, 8290, 15299, 85, 8283491, 61, 1
16416, 3808, 15299, 432, 8283923, 79, 0
16417, 22053, 15299, 997, 8284920, 64, 0
16418, 1840, 15299, 990, 8285910, 84, 0
16419, 1360, 15315, 563, 8286473, 89, 0
16420, 1120, 15299, 412, 8286885, 93, 0
16421, 1024, 15299, 719, 8287604, 93, 0
16422, 4273, 15315, 1081, 8288685, 77, 0
16423, 2464, 15299, 484, 8289169, 81, 0
16424, 4689, 15299, 150, 8289319, 75, 0
16425, 11058, 15299, 173, 8289492, 69, 0
16426, 15939, 15315, 1261, 8290753, 66, 0
16427, 1568, 15299, 602, 8291355, 85, 0
16428, 4129, 15299, 93, 8291448, 77, 0
16429, 1088, 15299, 278, 8291726, 89, 0
16430, 21717, 15299, 492, 8292218, 48, 1
16431, 1056, 15315, 1752, 8293970, 90, 0
16432, 976, 15299, 283, 8294253, 92, 0
16433, 7073, 15299, 792, 8295045, 71, 0
16434, 5457, 15315, 78, 8295123, 75, 0
16435, 18468, 15299, 227, 8295350, 66, 0
16436, 1120, 15299, 83, 8295433, 89, 0
16437, 1600, 15315, 7, 8295440, 84, 0
16438, 2480, 15299, 243, 8295683, 80, 0
16439, 1744, 15299, 332, 8296015, 83, 0
16440, 1824, 15283, 130, 8296145, 84, 0
16441, 2608, 15315, 454, 8296599, 80, 0
16442, 17956, 15299, 216, 8296815, 51, 1
16443, 2080, 15299, 54, 8296869, 84, 0
16444, 2912, 15299, 310, 8297179, 79, 0
16445, 1184, 15315, 967, 8298146, 90, 0
16446, 6417, 15299, 293, 8298439, 74, 0
16447, 2864, 15299, 437, 8298876, 80, 0
16448, 3792, 15315, 118, 8298994, 79, 0
16449, 5153, 15315, 536, 8299530, 75, 0
16450, 1760, 15299, 325, 8299855, 82, 0
16451, 1024, 15315, 84, 8299939, 94, 0
16452, 2352, 15315, 75, 8300014, 82, 0
16453, 32776, 15299, 275, 8300289, 60, 0
16454, 10802, 15299, 229, 8300518, 68, 0
16455, 7073, 15315, 963, 8301481, 72, 0
16456, 1536, 15315, 334, 8301815, 85, 0
16457, 3200, 15299, 505, 8302320, 80, 0
16458, 976, 15315, 384, 8302704, 94, 0
16459, 1088, 15315, 732, 8303436, 91, 0
16460, 1056, 15299, 617, 8304053, 89, 0
16461, 3952, 15315, 362, 8304415, 77, 0
16462, 2192, 15315, 698, 8305113, 82, 0
16463, 1312, 15315, 121, 8305234, 86, 0
16464, 14883, 15299, 282, 8305516, 53, 1
16465, 11858, 15299, 233, 8305749, 67, 0
16466, 21221, 15331, 293, 8306042, 64, 0
16467, 27990, 15315, 16, 8306058, 63, 0
16468, 5201, 15299, 175, 8306233, 76, 0
16469, 25830, 15315, 641, 8306874, 62, 0
16470, 1136, 15315, 120, 8306994, 88, 0
16471, 1120, 15299, 673, 8307667, 88, 0
16472, 4241, 15299, 132, 8307799, 76, 0
16473, 23845, 15299, 573, 8308372, 45, 1
16474, 4817, 15315, 335, 8308707, 76, 0
16475, 1472, 15299, 62, 8308769, 85, 0
16476, 5601, 15299, 296, 8309065, 74, 0
16477, 1664, 15315, 294, 8309359, 85, 0
16478, 3600, 15315, 214, 8309573, 72, 1
16479, 1104, 15315, 1314, 8310887, 90, 0
16480, 1040, 15299, 368, 8311255, 91, 0
16481, 2512, 15315, 259, 8311514, 80, 0
16482, 9122, 15299, 1055, 8312569, 71, 0
16483, 12098, 15283, 68, 8312637, 67, 0
16484, 11858, 15299, 104, 8312741, 68, 0
16485, 1088, 15315, 459, 8313200, 90, 0
16486, 5585, 15299, 112, 8313312, 74, 0
16487, 1504, 15315, 3, 8313315, 86, 0
16488, 3088, 15299, 299, 8313614, 78, 0
16489, 5473, 15299, 12, 8313626, 74, 0
16490, 1024, 15299, 656, 8314282, 93, 0
16491, 1056, 15299, 598, 8314880, 93, 0
16492, 8418, 15299, 315, 8315195, 71, 0
16493, 22373, 15315, 237, 8315432, 65, 0
16494, 3472, 15315, 85, 8315517, 77, 0
16495, 4769, 15299, 159, 8315676, 76, 0
16496, 28038, 15299, 792, 8316468, 62, 0
16497, 2592, 15299, 19, 8316487, 82, 0
16498, 2336, 15315, 127, 8316614, 82, 0
16499, 3776, 15299, 978, 8317592, 78, 0
16500, 12291, 15299, 524, 8318116, 66, 0
16501, 2320, 15315, 13, 8318129, 81, 0
16502, 10754, 15299, 492, 8318621, 68, 0
16503, 2944, 15315, 1643, 8320264, 77, 0
16504, 2992, 15315, 1177, 8321441, 80, 0
16505, 5889, 15299, 401, 8321842, 74, 0
16506, 3072, 15315, 319, 8322161, 82, 0
16507, 7345, 15315, 260, 8322421, 71, 0
16508, 10530, 15315, 258, 8322679, 69, 0
16509, 26678, 15315, 46, 8322725, 45, 1
16510, 1200, 15299, 363, 8323088, 89, 0
16511, 21717, 15299, 325, 8323413, 65, 0
16512, 2512, 15299, 1275, 8324688, 81, 0
16513, 9682, 15299, 254, 8324942, 69, 0
16514, 19268, 15299, 572, 8325514, 64, 0
16515, 2176, 15299, 47, 8325561, 84, 0
16516, 12643, 15299, 583, 8326144, 67, 0
16517, 24565, 15315, 21, 8326165, 63, 0
16518, 1104, 15299, 223, 8326388, 91, 0
16519, 992, 15299, 1128, 8327516, 92, 0
16520, 18980, 15299, 2108, 8329624, 64, 0
16521, 1120, 15299, 138, 8329762, 83, 1
16522, 2432, 15299, 197, 8329959, 81, 0
16523, 1200, 15299, 150, 8330109, 87, 0
16524, 1136, 15299, 318, 8330427, 89, 0
16525, 1312, 15299, 151, 8330578, 86, 0
16526, 15507, 15315, 559, 8331137, 67, 0
16527, 1936, 15299, 306, 8331443, 82, 0
16528, 4833, 15299, 122, 8331565, 75, 0
16529, 4481, 15299, 2484, 8334049, 78, 0
16530, 1136, 15299, 107, 8334156, 89, 0
16531, 976, 15315, 647, 8334803, 93, 0
16532, 14739, 15299, 499, 8335302, 67, 0
16533, 15155, 15299, 425, 8335727, 65, 0
16534, 1408, 15299, 791, 8336518, 86, 0
16535, 5169, 15299, 293, 8336811, 75, 0
16536, 28646, 15299, 1787, 8338598, 63, 0
16537, 1040, 15299, 329, 8338927, 91, 0
16538, 1024, 15299, 21, 8338948, 92, 0
16539, 20501, 15299, 75, 8339023, 65, 0
16540, 29239, 15299, 184, 8339207, 46, 1
16541, 8001, 15299, 174, 8339381, 71, 0
16542, 992, 15299, 51, 8339432, 92, 0
16543, 3584, 15299, 31, 8339463, 78, 0
16544, 10306, 15283, 1128, 8340591, 69, 0
16545, 6433, 15299, 893, 8341484, 74, 0
16546, 2512, 15299, 148, 8341632, 81, 0
16547, 1120, 15299, 221, 8341853, 90, 0
16548, 3552, 15299, 111, 8341964, 79, 0
16549, 29815, 15299, 306, 8342270, 43, 1
16550, 19364, 15299, 1010, 8343280, 50, 1
16551, 2688, 15315, 211, 8343491, 81, 0
16552, 2704, 15299, 2470, 8345961, 81, 0
16553, 32776, 15299, 196, 8346157, 60, 0
16554, 1088, 15299, 355, 8346512, 91, 0
16555, 1088, 15299, 928, 8347440, 92, 0
16556, 6897, 15299, 51, 8347491, 74, 0
16557, 17316, 15299, 1151, 8348642, 65, 0
16558, 1776, 15299, 627, 8349269, 84, 0
16559, 7505, 15299, 685, 8349954, 73, 0
16560, 5473, 15299, 558, 8350512, 73, 0
16561, 13379, 15299, 191, 8350703, 67, 0
16562, 23061, 15315, 689, 8351392, 65, 0
16563, 1104, 15315, 212, 8351604, 89, 0
16564, 27670, 15299, 720, 8352324, 60, 0
16565, 1072, 15299, 522, 8352846, 89, 0
16566, 16131, 15315, 338, 8353184, 66, 0
16567, 18708, 15315, 821, 8354005, 47, 1
16568, 992, 15299, 504, 8354509, 91, 0
16569, 6305, 15315, 237, 8354746, 63, 1
16570, 17620, 15299, 1610, 8356356, 63, 0
16571, 1968, 15315, 215, 8356571, 81, 0
16572, 1184, 15299, 176, 8356747, 92, 0
16573, 1168, 15299, 36, 8356783, 90, 0
16574, 4080, 15299, 295, 8357078, 78, 0
16575, 19076, 15299, 1276, 8358354, 65, 0
16576, 28855, 15315, 86, 8358440, 61, 0
16577, 12114, 15299, 528, 8358968, 68, 0
16578, 992, 15299, 1393, 8360361, 91, 0
16579, 33592, 15299, 369, 8360730, 41, 1
16580, 1008, 15315, 345, 8361075, 92, 0
16581, 35784, 15299, 12, 8361087, 60, 0
16582, 7649, 15299, 1305, 8362392, 75, 0
16583, 26006, 15299, 96, 8362488, 62, 0
16584, 3216, 15299, 316, 8362804, 79, 0
16585, 5041, 15315, 942, 8363746, 74, 0
16586, 1088, 15315, 343, 8364089, 92, 0
16587, 5377, 15299, 230, 8364319, 75, 0
16588, 1424, 15315, 134, 8364453, 86, 0
16589, 4401, 15315, 144, 8364597, 76, 0
16590, 16195, 15299, 167, 8364764, 67, 0
16591, 47035, 15299, 146, 8364910, 55, 0
16592, 17428, 15299, 452, 8365362, 65, 0
16593, 21957, 15299, 212, 8365574, 53, 1
16594, 1088, 15315, 1960, 8367534, 90, 0
16595, 8033, 15315, 94, 8367628, 70, 0
16596, 3888, 15299, 24, 8367652, 73, 0
16597, 3728, 15299, 386, 8368038, 79, 0
16598, 10754, 15315, 217, 8368255, 70, 0
16599, 14467, 15299, 416, 8368671, 65, 0
16600, 2736, 15315, 1297, 8369968, 79, 0
16601, 6257, 15299, 654, 8370622, 76, 0
16602, 45195, 15315, 372, 8370994, 57, 0
16603, 1040, 15299, 28, 8371022, 91, 0
16604, 38121, 15299, 271, 8371293, 57, 0
16605, 1488, 15315, 124, 8371417, 86, 0
16606, 1200, 15299, 349, 8371766, 89, 0
16607, 26678, 15315, 1730, 8373496, 46, 1
16608, 12034, 15331, 449, 8373945, 69, 0
16609, 15267, 15315, 202, 8374147, 68, 0
16610, 1840, 15315, 266, 8374413, 83, 0
16611, 1536, 15315, 376, 8374789, 84, 0
16612, 1200, 15299, 114, 8374903, 83, 1
16613, 10706, 15315, 519, 8375422, 70, 0
16614, 1888, 15315, 305, 8375727, 85, 0
16615, 4849, 15315, 18, 8375745, 76, 0
16616, 4753, 15315, 555, 8376300, 65, 1
16617, 23845, 15315, 996, 8377296, 50, 1
16618, 16051, 15315, 329, 8377625, 66, 0
16619, 24886, 15315, 92, 8377717, 64, 0
16620, 2528, 15299, 129, 8377846, 82, 0
16621, 18276, 15315, 45, 8377891, 65, 0
16622, 27302, 15299, 324, 8378215, 61, 0
16623, 16147, 15299, 497, 8378712, 66, 0
16624, 1328, 15299, 7, 8378719, 88, 0
16625, 1056, 15299, 417, 8379136, 90, 0
16626, 1440, 15315, 550, 8379686, 82, 1
16627, 4000, 15315, 976, 8380662, 76, 0
16628, 2832, 15299, 332, 8380994, 80, 0
16629, 18628, 15299, 46, 8381040, 65, 0
16630, 30775, 15299, 175, 8381215, 42, 1
16631, 32183, 15299, 157, 8381372, 61, 0
16632, 14595, 15299, 552, 8381924, 57, 0
16633, 6785, 15299, 142, 8382066, 73, 0
16634, 18372, 15299, 35, 8382101, 48, 1
16635, 3040, 15299, 327, 8382428, 72, 1
16636, 3104, 15299, 1083, 8383511, 79, 0
16637, 17636, 15299, 217, 8383728, 67, 0
16638, 3424, 15299, 384, 8384112, 80, 0
16639, 22197, 15315, 1150, 8385262, 65, 0
16640, 992, 15299, 168, 8385430, 90, 0
16641, 4225, 15315, 887, 8386317, 77, 0
16642, 41130, 15315, 1401, 8387718, 56, 0
16643, 3280, 15315, 498, 8388216, 79, 0
16644, 1968, 15299, 547, 8388763, 82, 0
16645, 1088, 15299, 193, 8388956, 91, 0
16646, 9778, 15315, 185, 8389141, 70, 0
16647, 1824, 15299, 57, 8389198, 84, 0
16648, 36120, 15299, 308, 8389506, 39, 1
16649, 4193, 15299, 46, 8389552, 76, 0
16650, 21605, 15299, 1416, 8390968, 64, 0
16651, 14675, 15315, 385, 8391353, 68, 0
16652, 13491, 15299, 33, 8391386, 67, 0
16653, 1264, 15315, 175, 8391561, 87, 0
16654, 1328, 15315, 255, 8391816, 88, 0
16655, 5201, 15299, 115, 8391931, 76, 0
16656, 1968, 15315, 278, 8392209, 82, 0
16657, 3760, 15315, 48, 8392257, 76, 0
16658, 8530, 15299, 190, 8392447, 71, 0
16659, 27222, 15315, 881, 8393328, 60, 0
16660, 16612, 15315, 9, 8393337, 65, 0
16661, 1120, 15299, 1712, 8395049, 85, 0
16662, 1760, 15299, 83, 8395132, 84, 0
16663, 4000, 15315, 156, 8395288, 77, 0
16664, 5073, 15299, 142, 8395430, 75, 0
16665, 5569, 15299, 1418, 8396848, 74, 0
16666, 1056, 15315, 476, 8397324, 92, 0
16667, 22181, 15299, 73, 8397397, 48, 1
16668, 3040, 15315, 731, 8398128, 81, 0
16669, 6913, 15315, 231, 8398359, 72, 0
16670, 15763, 15299, 151, 8398510, 38, 0
16671, 1952, 15315, 1201, 8399711, 84, 0
16672, 11522, 15299, 1928, 8401639, 69, 0
16673, 8882, 15299, 1004, 8402643, 73, 0
16674, 19252, 15315, 1957, 8404600, 65, 0
16675, 23973, 15315, 45, 8404645, 48, 1
16676, 21221, 15299, 541, 8405186, 62, 0
16677, 2432, 15299, 283, 8405469, 81, 0
16678, 59486, 15299, 201, 8405670, 32, 1
16679, 1024, 15315, 15, 8405685, 92, 0
16680, 1056, 15299, 881, 8406566, 91, 0
16681, 41242, 15299, 11, 8406577, 41, 1
16682, 7393, 15299, 238, 8406815, 73, 0
16683, 3536, 15315, 425, 8407240, 80, 0
16684, 2064, 15315, 255, 8407495, 83, 0
16685, 1040, 15315, 266, 8407761, 92, 0
16686, 1536, 15315, 1193, 8408954, 87, 0
16687, 19940, 15299, 11, 8408965, 65, 0
16688, 12643, 15299, 101, 8409066, 66, 0
16689, 1088, 15315, 842, 8409908, 78, 0
16690, 3200, 15315, 2079, 8411987, 81, 0
16691, 1248, 15315, 27, 8412014, 90, 0
16692, 1360, 15299, 613, 8412627, 87, 0
16693, 5457, 15299, 504, 8413131, 75, 0
16694, 8850, 15315, 73, 8413204, 72, 0
16695, 8001, 15299, 319, 8413523, 71, 0
16696, 1056, 15299, 61, 8413584, 92, 0
16697, 2384, 15315, 725, 8414309, 81, 0
16698, 1120, 15315, 25, 8414334, 91, 0
16699, 11266, 15299, 368, 8414702, 70, 0
16700, 1104, 15299, 80, 8414782, 90, 0
16701, 1696, 15315, 491, 8415273, 84, 0
16702, 1488, 15299, 103, 8415376, 86, 0
16703, 26886, 15315, 206, 8415582, 61, 0
16704, 1696, 15315, 968, 8416550, 84, 0
16705, 2224, 15315, 224, 8416774, 81, 0
16706, 22645, 15299, 54, 8416828, 48, 1
16707, 7937, 15299, 79, 8416907, 71, 0
16708, 1008, 15315, 439, 8417346, 94, 0
